"system","code","display","count"
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S02.61",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S62.10",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S02.2",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S42.10",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S62.4",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S42.09",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S02.4",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S72.02",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S02.3",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S62.62",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S62.61",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S42.14",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S72.10",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S62.21",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S62.34",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S72.8",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S42.42",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S62.16",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S72.11",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","W01",,3
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S42.40",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S42.21",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S42.13",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S02.8",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S42.02",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S42.20",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S02.68",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S42.01",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S42.44",,205
